task_1	task_2	acc	recall	precision	f1
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__3	0.7354	0.9302	0.6694012665515257	0.7785403414797457
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__4	0.9129	0.9294	0.8997095837366893	0.9143138219380227
HIGH_VS_95LOW__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__4	0.7317	0.9294	0.6660455783287946	0.7759873090089338
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__42	0.7753	0.8998	0.7204163330664531	0.8001778568252557
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__42	0.8889	0.8998	0.8806028577020943	0.8900979325353646
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__1__42	0.7753	0.8998	0.7204163330664531	0.8001778568252557
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__1__42	0.8889	0.8998	0.8806028577020943	0.8900979325353646
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__2__42	0.7753	0.8998	0.7204163330664531	0.8001778568252557
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__2__42	0.8889	0.8998	0.8806028577020943	0.8900979325353646
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__3__42	0.7753	0.8998	0.7204163330664531	0.8001778568252557
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__3__42	0.8889	0.8998	0.8806028577020943	0.8900979325353646
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__0	0.7733	0.8994	0.7182558696693819	0.7986857295089246
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__0	0.8878	0.8994	0.879007036747459	0.8890865954922895
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__1	0.7799	0.9044	0.7240992794235388	0.8042685638061361
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__1	0.896	0.9044	0.8894571203776553	0.8968663228877429
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__2	0.7755	0.9024	0.7197320146753868	0.8007809033632088
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__2	0.8888	0.9024	0.8785046728971962	0.8902920284135754
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__3	0.7682	0.9008	0.7119822952892824	0.7953381599858733
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__3	0.8894	0.9008	0.8807195932733672	0.8906466284358315
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_95LOW__HR2B__auto__0__4	0.7714	0.903	0.7148511716276124	0.7979851537645811
HIGH_VS_LOOSER__HR2B__auto__0__42	HIGH_VS_LOOSER__HR2B__auto__0__4	0.8898	0.903	0.8797739672642245	0.8912356889064351
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__42	0.9077	0.9018	0.912568306010929	0.9071521979680113
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__42	0.7591	0.9018	0.7015714952543955	0.7891835127330008
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__1__42	0.9077	0.9018	0.912568306010929	0.9071521979680113
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__1__42	0.7591	0.9018	0.7015714952543955	0.7891835127330008
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__2__42	0.9077	0.9018	0.912568306010929	0.9071521979680113
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__2__42	0.7591	0.9018	0.7015714952543955	0.7891835127330008
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__3__42	0.9077	0.9018	0.912568306010929	0.9071521979680113
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__3__42	0.7591	0.9018	0.7015714952543955	0.7891835127330008
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__0	0.9137	0.91	0.9167842031029619	0.913379504165412
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__0	0.7629	0.91	0.7031370730953485	0.7933048557231279
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__1	0.9087	0.8992	0.9166156982670745	0.9078243311458859
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__1	0.7558	0.8992	0.6987876903947777	0.7864264474374673
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__2	0.9072	0.9018	0.9116457743631217	0.9066961592600039
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__2	0.7543	0.9018	0.6963706563706563	0.7858823529411765
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__3	0.9143	0.9134	0.9150470847525546	0.9142228005204684
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__3	0.7621	0.9134	0.7012129586979886	0.7933640232780335
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__4	0.9104	0.9068	0.9133763094278807	0.9100762745885188
HIGH_VS_95LOW__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__4	0.7531	0.9068	0.693590331956555	0.7859928924330415
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__42	0.7725	0.8824	0.7233972782423348	0.7950265789710784
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__42	0.8878	0.8824	0.8920339668418924	0.8871908304846168
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__1__42	0.7725	0.8824	0.7233972782423348	0.7950265789710784
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__1__42	0.8878	0.8824	0.8920339668418924	0.8871908304846168
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__2__42	0.7725	0.8824	0.7233972782423348	0.7950265789710784
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__2__42	0.8878	0.8824	0.8920339668418924	0.8871908304846168
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__3__42	0.7725	0.8824	0.7233972782423348	0.7950265789710784
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__3__42	0.8878	0.8824	0.8920339668418924	0.8871908304846168
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__0	0.7708	0.8828	0.7212418300653595	0.793884892086331
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__0	0.8965	0.8828	0.9076701624511618	0.8950623542532699
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__1	0.7788	0.8906	0.7278522392938869	0.8010433531210649
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__1	0.8975	0.8906	0.9030622591766376	0.8967878360688752
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__2	0.7774	0.8916	0.7258222077499186	0.8002154011847065
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__2	0.8935	0.8916	0.8950010038144951	0.893297264803126
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__3	0.7747	0.8846	0.7252008525987866	0.7970087395260834
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__3	0.8909	0.8846	0.8958881912092364	0.8902083123679179
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_95LOW__HR2B__auto__0__4	0.772	0.887	0.7211382113821139	0.7955156950672646
HIGH_VS_LOOSER__HR2B__auto__1__42	HIGH_VS_LOOSER__HR2B__auto__0__4	0.8941	0.887	0.8997768310002029	0.893342733407191
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__42	0.9067	0.9166	0.8988036869974505	0.9076146153084464
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__42	0.7375	0.9166	0.6748637903107053	0.7773725723009073
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__1__42	0.9067	0.9166	0.8988036869974505	0.9076146153084464
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__1__42	0.7375	0.9166	0.6748637903107053	0.7773725723009073
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__2__42	0.9067	0.9166	0.8988036869974505	0.9076146153084464
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__2__42	0.7375	0.9166	0.6748637903107053	0.7773725723009073
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__3__42	0.9067	0.9166	0.8988036869974505	0.9076146153084464
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__3__42	0.7375	0.9166	0.6748637903107053	0.7773725723009073
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__0	0.9131	0.9224	0.9055566463773808	0.9139007232735559
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__0	0.7446	0.9224	0.6804367069932133	0.7831550348106641
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__1	0.9071	0.9202	0.8967062950691873	0.9083012535781266
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__1	0.7382	0.9202	0.674633431085044	0.7785109983079527
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__2	0.9112	0.9272	0.8984496124031007	0.9125984251968504
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__2	0.7432	0.9272	0.6777777777777778	0.7831081081081082
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__3	0.9134	0.9272	0.9022966134682756	0.9145788123890314
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__3	0.7412	0.9272	0.675801749271137	0.7817875210792581
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__4	0.9152	0.928	0.9048361934477379	0.9162717219589257
HIGH_VS_95LOW__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__4	0.7412	0.928	0.675596971461852	0.7819346140883047
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__42	0.7801	0.9076	0.7231872509960159	0.8049667405764968
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__42	0.8901	0.9076	0.8769082125603864	0.8919901719901719
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__1__42	0.7801	0.9076	0.7231872509960159	0.8049667405764968
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__1__42	0.8901	0.9076	0.8769082125603864	0.8919901719901719
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__2__42	0.7801	0.9076	0.7231872509960159	0.8049667405764968
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__2__42	0.8901	0.9076	0.8769082125603864	0.8919901719901719
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__3__42	0.7801	0.9076	0.7231872509960159	0.8049667405764968
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__3__42	0.8901	0.9076	0.8769082125603864	0.8919901719901719
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__0	0.7734	0.9018	0.7175366008911521	0.7991846862814604
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__0	0.8863	0.9018	0.8746847720659554	0.8880354505169867
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__1	0.7827	0.9064	0.7266313932980599	0.806620984248465
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__1	0.8905	0.9064	0.8784648187633263	0.8922138005709223
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__2	0.7802	0.9092	0.7227344992050875	0.8053144375553587
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__2	0.8856	0.9092	0.8682200152788389	0.8882375928096913
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__3	0.7753	0.9084	0.7174222081819618	0.8016944665078105
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__3	0.8888	0.9084	0.874133949191686	0.8909376225970969
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_95LOW__HR2B__auto__0__4	0.7757	0.9072	0.7182897862232779	0.801767565178966
HIGH_VS_LOOSER__HR2B__auto__2__42	HIGH_VS_LOOSER__HR2B__auto__0__4	0.8891	0.9072	0.8755066589461494	0.8910716039681762
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__42	0.9145	0.9326	0.9000193012931866	0.9160200373244278
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__42	0.7341	0.9326	0.6675733715103794	0.7781393408427201
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__1__42	0.9145	0.9326	0.9000193012931866	0.9160200373244278
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__1__42	0.7341	0.9326	0.6675733715103794	0.7781393408427201
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__2__42	0.9145	0.9326	0.9000193012931866	0.9160200373244278
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__2__42	0.7341	0.9326	0.6675733715103794	0.7781393408427201
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__3__42	0.9145	0.9326	0.9000193012931866	0.9160200373244278
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__3__42	0.7341	0.9326	0.6675733715103794	0.7781393408427201
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__0	0.9114	0.9284	0.8978723404255319	0.9128810226155359
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__0	0.7352	0.9284	0.6696480092325447	0.7780757626550452
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__1	0.9107	0.9298	0.8955885185898671	0.9123736630360121
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__1	0.7388	0.9298	0.6727930535455862	0.7806884970612931
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__2	0.9135	0.9316	0.8990542366338544	0.9150378155387486
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__2	0.7328	0.9316	0.6665712650257585	0.7771104437771105
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__3	0.9139	0.9368	0.8957735704723656	0.9158275491250366
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__3	0.7376	0.9368	0.669908466819222	0.781187458305537
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__4	0.9135	0.9344	0.8969091956229602	0.9152708394553826
HIGH_VS_95LOW__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__4	0.7347	0.9344	0.6677147348863799	0.7788613820121696
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__42	0.7772	0.9026	0.7216181643748001	0.8020259463301938
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__42	0.8876	0.9026	0.8763106796116504	0.8892610837438424
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__1__42	0.7772	0.9026	0.7216181643748001	0.8020259463301938
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__1__42	0.8876	0.9026	0.8763106796116504	0.8892610837438424
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__2__42	0.7772	0.9026	0.7216181643748001	0.8020259463301938
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__2__42	0.8876	0.9026	0.8763106796116504	0.8892610837438424
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__3__42	0.7772	0.9026	0.7216181643748001	0.8020259463301938
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__3__42	0.8876	0.9026	0.8763106796116504	0.8892610837438424
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__0	0.7763	0.903	0.7204404021062709	0.8014555782373302
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__0	0.8903	0.903	0.8806319485078994	0.891675718376617
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__1	0.782	0.9026	0.7271994843699645	0.8054613599857219
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__1	0.8912	0.9026	0.882479468126711	0.8924263397271109
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__2	0.7774	0.9032	0.721636305528923	0.8022739385325991
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__2	0.887	0.9032	0.8748547074777218	0.888801417043889
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__3	0.7746	0.9052	0.7177291468442752	0.8006368300017689
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__3	0.8892	0.9052	0.8771317829457365	0.890944881889764
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_95LOW__HR2B__auto__0__4	0.778	0.9116	0.7193813131313131	0.8041637261820748
HIGH_VS_LOOSER__HR2B__auto__3__42	HIGH_VS_LOOSER__HR2B__auto__0__4	0.8918	0.9116	0.8768757214313198	0.8939007648558542
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__42	0.9109	0.922	0.9019761299158677	0.9118781525071704
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__42	0.7491	0.922	0.685094367662357	0.7860857703128997
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__1__42	0.9109	0.922	0.9019761299158677	0.9118781525071704
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__1__42	0.7491	0.922	0.685094367662357	0.7860857703128997
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__2__42	0.9109	0.922	0.9019761299158677	0.9118781525071704
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__2__42	0.7491	0.922	0.685094367662357	0.7860857703128997
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__3__42	0.9109	0.922	0.9019761299158677	0.9118781525071704
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__3__42	0.7491	0.922	0.685094367662357	0.7860857703128997
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__0	0.9087	0.9196	0.899980426697984	0.90968443960827
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__0	0.7483	0.9196	0.6849396692983762	0.7851105609152224
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__1	0.9109	0.9204	0.9032384690873405	0.911738484398217
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__1	0.7458	0.9204	0.6821820337978061	0.7835859015835177
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__2	0.9122	0.9246	0.9022248243559718	0.9132753852232319
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__2	0.745	0.9246	0.6802530900529723	0.78382502543235
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__3	0.9155	0.9272	0.905999609145984	0.9164772165661759
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__3	0.7534	0.9272	0.6880379934698724	0.7899131027432272
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__4	0.9102	0.922	0.9007424775302852	0.9112472820715556
HIGH_VS_95LOW__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__4	0.7468	0.922	0.682760663507109	0.7845473110959836
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__42	0.7624	0.8954	0.7072669826224328	0.7902912621359223
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__42	0.8879	0.8954	0.8821674876847291	0.8887344913151365
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__1__42	0.7624	0.8954	0.7072669826224328	0.7902912621359223
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__1__42	0.8879	0.8954	0.8821674876847291	0.8887344913151365
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__2__42	0.7624	0.8954	0.7072669826224328	0.7902912621359223
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__2__42	0.8879	0.8954	0.8821674876847291	0.8887344913151365
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__3__42	0.7624	0.8954	0.7072669826224328	0.7902912621359223
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__3__42	0.8879	0.8954	0.8821674876847291	0.8887344913151365
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__0	0.7644	0.8912	0.7109125717932355	0.7909123180688677
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__0	0.8856	0.8912	0.8813291139240507	0.8862370723945904
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__1	0.7684	0.899	0.7128131937836981	0.7951530160976473
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__1	0.8904	0.899	0.8837986629964609	0.8913345231013287
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__2	0.7728	0.9076	0.7148708254568368	0.799788508988368
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_LOOSER__HR2B__auto__0__2	0.8935	0.9076	0.8827076444271542	0.8949807711271077
HIGH_VS_LOOSER__HR2B__auto__0__0	HIGH_VS_95LOW__HR2B__auto__0__3	0.7654	0.9024	0.7083202511773941	0.7936675461741424
